ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Nie powiemy tak o trumnie.;drewniany szlafrok;dębowa kamizelka;sosnowa jesionka;lastrykowe body;4
2;Kogo przedstawia wzniesiona w 2010 r. 36-metrowa żelbetowa figura w Świebodzinie?;Jezusa Chrystusa;Jana Pawła II;Fryderyka SzopenaMikołaja Kopernika;;1
3;Dowódcą którego powstania był generał Tadeusz Bór-Komorowski?;styczniowego ;listopadowego ;warszawskiego ;kościuszkowskiego ;3
4;Może być i rzeczownikiem, i czasownikiem.;bomba ;lufa ;gała ;pała ;4
5;Który z palców naszej ręki zwykle jest najdłuższy?;wskazujący ;mały ;środkowy ;kciuk ;3
6;Dokończ powiedzenie. Bez pracy...;lud się próżniaczy;są dziś tajniacy;obywają się cwaniacy;nie ma kołaczy;4
7;Co na chmurze wróży burzę?;imadło ;kowadło ;kleszcze ;młot ;2
8;Rękoczyn Heimlicha stosuje się w przypadku:;ucieczki z więzienia;znieważenia;zadławienia ;ataku histerii;3
9;Fisz i Emade to bracia:;Cugowscy ;Waglewscy ;Szczepaniakowie ;Pospieszalscy ;2
10;Która z wymienionych przypraw nie jest mieszaniną?;pieprz ziołowy;garam masala;kurkuma ;curry ;3
