ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Ile atomów wodoru ma cząsteczka kwasu solnego?;1;2;3;4;1
2;Którą planetę układu słonecznego nazywamy „Czerwoną”;Jowisz;Saturn;Mars;Merkury;3
3;W których polskich górach jest jaskinia Raj?;Tatrach;Świętokrzyskich;Sudetach;Karpatach;2
4;Ile części „Przygód Pana Kleksa” napisał Jan Brzechwa?;1;2;3;4;3
5;Z którym krajem NIE graniczą Indie?;Pakistan;Nepal;Bangladesz;Tajlandia;4
6;W którym wieku żył Miguel Cervantes, autor „Don Kichota”?;15 wieku;16 wieku;19 wieku;20 wieku;2
7;Z którego miasta, według mitologi, pochodził Egeusz?;Teby;Ateny;Sparta;Troja;2
8;Triest to miasto portowe którego państwa?;Grecji;Chorwacji;Niemiec;Włoch;4
9;W którym roku Napoleon powrócił z Elby?;1812;1813;1814;1815;4
10;Stolicą którego państwa jest Nairobi;Kenii;Tanzanii;Kongo;Sudanu;2
